title,cover,genre,topics,last,first,fullname,usbn,asin,pages,avg_rating,num_ratings,date_pub,edition,rating,review,date_started,date_read,date_added,month
The Tea Girl of Hummingbird Lane,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472151037l/25150798._SY475_.jpg,literary fiction,"adoption, loss, family",See,Lisa ,Lisa See,isbn,asin    B01HMXRVL8,384,4.25,"70,957",2017-03-21," edition      Mar 21, 2017",5,"A staggering amount of research went into this novel about tea, rural China, the Akha people, and the adoption of Chinese girls to America. Lisa See created masterful blend of fact and fiction that grips you to the end.",2020-12-20,2020-12-28,2020-12-20,Dec
The Bean Trees,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443483961l/30868.jpg,literary fiction,"coming-of-age, immigration, adoption",Kingsolver,Barbara ,Barbara Kingsolver,isbn    0812474945,asin,232,3.97,"135,921",1988-12-01," edition      Mar 01, 1989",3,"Liked it overall, but wasn't fully pulled into the story. It's nice to dip your feet into the water sometimes without fully diving in, soaking up the things that move you and skimming over those that don't.",2020-12-08,2020-12-15,2020-12-08,Dec
The Invisible Life of Addie LaRue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584633432l/50623864.jpg,literary fiction,"time, mortality, love",Schwab,V.E. ,V.E. Schwab,isbn    0765387565,asin,442,4.39,"76,005",2020-10-06," edition      Oct 06, 2020",4,"A wildly creative journey through time and memories. Not altogether unpredictable, but page-turning enough to stay interesting, with some really beautiful metaphors sprinkled through on creativity, art, and belonging.",2020-11-02,2020-11-27,2020-11-02,Nov
Upstream: The Quest to Solve Problems Before They Happen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571690412l/48549702._SY475_.jpg,non-fiction,"public health, problem solving",Heath,Dan ,Dan Heath,isbn,asin    B07THBM1M6,320,4.2,"2,161",2020-03-03," edition      Mar 03, 2020",5,"This book will make you feel simultaneously inspired and outraged: inspired by the hope of enacting real change through early intervention, and outrage at the widespread short-sightedness of America's health system. Upstream will change the way you think about problem solving.",2020-10-23,2020-11-02,2020-10-23,Nov
Envisioning Information,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1290403773l/17745.jpg,non-fiction,information design,Tufte,Edward R. ,Edward R. Tufte,isbn    0961392118,asin,126,4.23,"7,474",1990-05-01, edition      Dec 1992,3,"An interesting foray into the history and strategy of dense-data design. A few practical notes, but mostly an academic analysis of how to encode visuals with information.",2020-09-29,2020-12-16,2020-09-29,Dec
Habibi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327899014l/10138607.jpg,graphic novel,"religion, chosen family, love",Thompson,Craig ,Craig Thompson,isbn    0375424148,asin,672,4.03,"36,707",2011-09-01," edition      Sep 20, 2011",5,My brain cannot comprehend how much work went into this graphics novel. Every page is covered with painstaking detail and beauty. Learned a lot about Islamic history and mythology.         ,2020-12-06,2020-12-08,2020-09-28,Dec
Blankets,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460925949l/25179._SX318_.jpg,graphic novel,"religion, coming-of-age, nostalgia",Thompson,Craig ,Craig Thompson,isbn    1891830430,asin,592,4.04,"97,514",2003-07-23," edition      Aug 18, 2003",5,"Pure visual poetry. Craig Thompson writes with a gentle lyricism and illustrates in a style both mystical and raw. My first graphic novel, and I loved every page.  ",2020-09-27,2020-09-28,2020-09-27,Sep
Eat a Peach,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582084217l/51700803.jpg,memoir,"food, mental health",Chang,David ,David Chang,isbn    152475921X,asin,288,4.03,"6,615",2020-09-08," edition      Sep 08, 2020",3,"In his memoir, Chang talks about the power of paradox constantly: it's power to make good food, spark creativity, upend long-standing systems. But the biggest paradox seemed to be Chang himself, both showy and self-deprecating, cruel and sympathetic, ruthless and compassionate. Whatever your opinion, he's an unforgettable character in food that had changed restaurants in America forever.",2020-12-17,2020-12-20,2020-09-11,Dec
Just Food: Where Locavores Get it Wrong and How We Can Truly Eat Responsibly,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327841832l/8362100.jpg,non-fiction,"food, sustainability",McWilliams,James ,James McWilliams,isbn,asin    B002L4EXM4,284,3.69,655,2009-08-26, edition      unknown,3,"McWilliams offers a balanced argument for how to create a truly sustainable and just food economy. That being said, his most powerful points are dampened by his obvious distaste for the locavore movement; some of this is well deserved, but the belittling tone creates a unnecessary dichotomy. To create sustainable systems we need a both/AND approach, not either/or. More local AND more access to affordable, conventional foods. Overall I will take some new and innovative ideas from this book though: the importance of Lifecycle Assessments, short sightedness of food miles, and the promise of aquaculture and aquaponics to name a few highlights.",2020-09-07,2020-09-29,2020-09-05,Sep
Healing Power of Color,https://s.gr-assets.com/assets/nophoto/book/blank-133x176-8b769f39ba6687a82d2eef30bdf46977.jpg,non-fiction,"design, mythology",Wood,Betty ,Betty Wood,isbn    0850303842,asin,120,2.89,9,1985-09-01," edition      Sep 01, 1985",1,"Was not what I expected...started out interesting with some of the history behind color use in ancient civilizations. Then it got into the real point of the book, which is chakric color healing...guess I should have read the title literally instead of figuratively.",2020-09-02,2020-09-05,2020-09-02,Sep
Everything I Never Told You,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386795198l/18693763._SY475_.jpg,literary fiction,"family, race",Ng,Celeste ,Celeste Ng,isbn    159420571X,asin,292,3.86,"352,582",2014-06-26," edition      Jun 26, 2014",4,"A moving story about family, the expectations of parents, forgotten dreams, and the fog of grief that follows loss. As with ""Little Fires Everywhere"", Ng paints the portrait of non-white family life with exceptional clarity and beauty, weaving the concept of felt ""otherness"" into every page.",2020-08-28,2020-10-20,2020-08-28,Oct
The Immortalists,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493015963l/30288282.jpg,literary fiction,"time, mortality, family",Benjamin,Chloe ,Chloe Benjamin,isbn    0735213186,asin,346,3.71,"157,237",2018-01-09," edition      Jan 09, 2018",4,"Four stories woven into the thread of a single family plagued by their own sense of destiny, loss, and belonging. Colorful and dark.",2020-08-23,2020-08-28,2020-08-23,Aug
The Year of Less,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508469293l/35488858.jpg,non-fiction,"minimalism, consumerism",Flanders,Cait ,Cait Flanders,isbn    1401954871,asin,189,3.5,"29,476",2018-01-16," edition      Jan 16, 2018",3,"Cait challenges herself to not buy anything extra for a year, then writes about her struggles and lessons learned along the way. A simple book, with a simple (if a sometimes a bit naiive) message: less is often more.",2020-08-19,2020-08-20,2020-08-19,Aug
Little Fires Everywhere,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582774355l/51704136.jpg,literary fiction,"race, family, coming-of-age",Ng,Celeste ,Celeste Ng,isbn    0143135163,asin,368,4.1,"753,285",2017-09-12," edition      Mar 17, 2020",5,"This book has so many layers: race, class, privelege, motherhood, trust. A gripping story. Still thinking about it.",2020-08-02,2020-08-11,2020-08-02,Aug
Heavy: An American Memoir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517524042l/29430746._SY475_.jpg,memoir,"race, family, trauma",Laymon,Kiese ,Kiese Laymon,isbn    1501125656,asin,241,4.44,"25,647",2018-10-16," edition      Oct 16, 2018",5,"An absolutely beautiful piece of literature: the prose, rhythm, memories, confessions, all the words that suck you into a story that is not your own. It's all heavy, and you feel it, and the weight stays with you. Laymon is a genius.",2020-09-08,2020-09-09,2020-07-08,Sep
"Stamped: Racism, Antiracism, and You",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568739320l/52220686._SX318_SY475_.jpg,non-fiction,"race, anti-racism, history",Reynolds,Jason ,Jason Reynolds,isbn    0316453692,asin,294,4.55,"26,166",2020-03-10," edition      Mar 10, 2020",4,"Reynolds brings a new voice to the history of the Black struggle in America, one that is crisp, concise, and rhythmic. An engaging entry into the complex past of race and the antiracist movement.",2020-07-08,2020-07-17,2020-07-08,Jul
In Defense of Food: An Eater's Manifesto,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442538739l/315425._SY475_.jpg,non-fiction,"food, sustainability",Pollan,Michael ,Michael Pollan,isbn    1594201455,asin,205,4.07,"105,100",2008-01-01," edition      Jan 01, 2008",5,"Pollan reveals the the facade of nutrtionism for what it really is: food capitalism. We do not need food products; we need food. Pollan's manifesto feels elegant in simplicity, romantic in its reverence for vegetables, and thoroughly well researched. An uncomplicated mantra to shop by: ""eat food. Not too much. Mostly plants.""",2020-08-24,2020-08-31,2020-07-08,Aug
White Fragility: Why It’s So Hard for White People to Talk About Racism,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548478235l/43708708.jpg,non-fiction,"race, anti-racism",DiAngelo,Robin ,Robin DiAngelo,isbn    0807071161,asin,154,4.27,"107,806",2018-06-26," edition      Jun 26, 2018",5,"This book pulls no punches, and necessarily so. DiAngelo explains how to sit with the discomfort of white supremacy culture and then do something about it.",2020-07-05,2020-07-07,2020-07-05,Jul
"The Restaurant at the End of the Universe: (Hitchhiker's Guide to the Galaxy, #2)",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521213881l/8695._SY475_.jpg,sci-fi,"space travel, comedy",Adams,Douglas ,Douglas Adams,isbn,asin,250,4.21,"236,620",1980-10-12," edition      Apr 26, 2005",1,"A string of rambling, rabbit holes filled with characters trying to out-wit each other with gallows humor. Like SNL, but without ya know, the laughs.",2020-07-05,2020-07-12,2020-07-05,Jul
